date,cases,country,size
31-12-2019,27,China,10
31-12-2019,0,India,10
31-12-2019,0,Italy,10
31-12-2019,0,Japan,10
31-12-2019,0,Russia,10
31-12-2019,0,United States of America,10
01-01-2020,0,China,10
01-01-2020,0,India,10
01-01-2020,0,Italy,10
01-01-2020,0,Japan,10
01-01-2020,0,Russia,10
01-01-2020,0,United States of America,10
02-01-2020,0,China,10
02-01-2020,0,India,10
02-01-2020,0,Italy,10
02-01-2020,0,Japan,10
02-01-2020,0,Russia,10
02-01-2020,0,United States of America,10
03-01-2020,17,China,10
03-01-2020,0,India,10
03-01-2020,0,Italy,10
03-01-2020,0,Japan,10
03-01-2020,0,Russia,10
03-01-2020,0,United States of America,10
04-01-2020,0,China,10
04-01-2020,0,India,10
04-01-2020,0,Italy,10
04-01-2020,0,Japan,10
04-01-2020,0,Russia,10
04-01-2020,0,United States of America,10
05-01-2020,15,China,10
05-01-2020,0,India,10
05-01-2020,0,Italy,10
05-01-2020,0,Japan,10
05-01-2020,0,Russia,10
05-01-2020,0,United States of America,10
06-01-2020,0,China,10
06-01-2020,0,India,10
06-01-2020,0,Italy,10
06-01-2020,0,Japan,10
06-01-2020,0,Russia,10
06-01-2020,0,United States of America,10
07-01-2020,0,China,10
07-01-2020,0,India,10
07-01-2020,0,Italy,10
07-01-2020,0,Japan,10
07-01-2020,0,Russia,10
07-01-2020,0,United States of America,10
08-01-2020,0,China,10
08-01-2020,0,India,10
08-01-2020,0,Italy,10
08-01-2020,0,Japan,10
08-01-2020,0,Russia,10
08-01-2020,0,United States of America,10
09-01-2020,0,China,10
09-01-2020,0,India,10
09-01-2020,0,Italy,10
09-01-2020,0,Japan,10
09-01-2020,0,Russia,10
09-01-2020,0,United States of America,10
10-01-2020,0,China,10
10-01-2020,0,India,10
10-01-2020,0,Italy,10
10-01-2020,0,Japan,10
10-01-2020,0,Russia,10
10-01-2020,0,United States of America,10
11-01-2020,0,China,10
11-01-2020,0,India,10
11-01-2020,0,Italy,10
11-01-2020,0,Japan,10
11-01-2020,0,Russia,10
11-01-2020,0,United States of America,10
12-01-2020,0,China,10
12-01-2020,0,India,10
12-01-2020,0,Italy,10
12-01-2020,0,Japan,10
12-01-2020,0,Russia,10
12-01-2020,0,United States of America,10
13-01-2020,0,China,10
13-01-2020,0,India,10
13-01-2020,0,Italy,10
13-01-2020,0,Japan,10
13-01-2020,0,Russia,10
13-01-2020,0,United States of America,10
14-01-2020,0,China,10
14-01-2020,0,India,10
14-01-2020,0,Italy,10
14-01-2020,0,Japan,10
14-01-2020,0,Russia,10
14-01-2020,0,United States of America,10
15-01-2020,0,China,10
15-01-2020,0,India,10
15-01-2020,0,Italy,10
15-01-2020,1,Japan,10
15-01-2020,0,Russia,10
15-01-2020,0,United States of America,10
16-01-2020,0,China,10
16-01-2020,0,India,10
16-01-2020,0,Italy,10
16-01-2020,0,Japan,10
16-01-2020,0,Russia,10
16-01-2020,0,United States of America,10
17-01-2020,4,China,10
17-01-2020,0,India,10
17-01-2020,0,Italy,10
17-01-2020,0,Japan,10
17-01-2020,0,Russia,10
17-01-2020,0,United States of America,10
18-01-2020,17,China,10
18-01-2020,0,India,10
18-01-2020,0,Italy,10
18-01-2020,0,Japan,10
18-01-2020,0,Russia,10
18-01-2020,0,United States of America,10
19-01-2020,136,China,10
19-01-2020,0,India,10
19-01-2020,0,Italy,10
19-01-2020,0,Japan,10
19-01-2020,0,Russia,10
19-01-2020,0,United States of America,10
20-01-2020,19,China,10
20-01-2020,0,India,10
20-01-2020,0,Italy,10
20-01-2020,0,Japan,10
20-01-2020,0,Russia,10
20-01-2020,0,United States of America,10
21-01-2020,151,China,10
21-01-2020,0,India,10
21-01-2020,0,Italy,10
21-01-2020,0,Japan,10
21-01-2020,0,Russia,10
21-01-2020,1,United States of America,10
22-01-2020,140,China,10
22-01-2020,0,India,10
22-01-2020,0,Italy,10
22-01-2020,0,Japan,10
22-01-2020,0,Russia,10
22-01-2020,0,United States of America,10
23-01-2020,97,China,10
23-01-2020,0,India,10
23-01-2020,0,Italy,10
23-01-2020,0,Japan,10
23-01-2020,0,Russia,10
23-01-2020,0,United States of America,10
24-01-2020,259,China,10
24-01-2020,0,India,10
24-01-2020,0,Italy,10
24-01-2020,1,Japan,10
24-01-2020,0,Russia,10
24-01-2020,0,United States of America,10
25-01-2020,441,China,10
25-01-2020,0,India,10
25-01-2020,0,Italy,10
25-01-2020,0,Japan,10
25-01-2020,0,Russia,10
25-01-2020,1,United States of America,10
26-01-2020,665,China,10
26-01-2020,0,India,10
26-01-2020,0,Italy,10
26-01-2020,1,Japan,10
26-01-2020,0,Russia,10
26-01-2020,0,United States of America,10
27-01-2020,787,China,10
27-01-2020,0,India,10
27-01-2020,0,Italy,10
27-01-2020,0,Japan,10
27-01-2020,0,Russia,10
27-01-2020,3,United States of America,10
28-01-2020,1753,China,10
28-01-2020,0,India,10
28-01-2020,0,Italy,10
28-01-2020,1,Japan,10
28-01-2020,0,Russia,10
28-01-2020,0,United States of America,10
29-01-2020,1466,China,10
29-01-2020,0,India,10
29-01-2020,0,Italy,10
29-01-2020,3,Japan,10
29-01-2020,0,Russia,10
29-01-2020,0,United States of America,10
30-01-2020,1740,China,10
30-01-2020,1,India,10
30-01-2020,0,Italy,10
30-01-2020,4,Japan,10
30-01-2020,0,Russia,10
30-01-2020,0,United States of America,10
31-01-2020,1980,China,10
31-01-2020,0,India,10
31-01-2020,3,Italy,10
31-01-2020,3,Japan,10
31-01-2020,0,Russia,10
31-01-2020,1,United States of America,10
01-02-2020,2095,China,10
01-02-2020,0,India,10
01-02-2020,0,Italy,10
01-02-2020,1,Japan,10
01-02-2020,2,Russia,10
01-02-2020,1,United States of America,10
02-02-2020,2590,China,10
02-02-2020,1,India,10
02-02-2020,0,Italy,10
02-02-2020,4,Japan,10
02-02-2020,0,Russia,10
02-02-2020,1,United States of America,10
03-02-2020,2812,China,10
03-02-2020,0,India,10
03-02-2020,0,Italy,10
03-02-2020,1,Japan,10
03-02-2020,0,Russia,10
03-02-2020,3,United States of America,10
04-02-2020,3237,China,10
04-02-2020,1,India,10
04-02-2020,0,Italy,10
04-02-2020,0,Japan,10
04-02-2020,0,Russia,10
04-02-2020,0,United States of America,10
05-02-2020,3872,China,10
05-02-2020,0,India,10
05-02-2020,0,Italy,10
05-02-2020,5,Japan,10
05-02-2020,0,Russia,10
05-02-2020,0,United States of America,10
06-02-2020,3727,China,10
06-02-2020,0,India,10
06-02-2020,0,Italy,10
06-02-2020,0,Japan,10
06-02-2020,0,Russia,10
06-02-2020,1,United States of America,10
07-02-2020,3160,China,10
07-02-2020,0,India,10
07-02-2020,0,Italy,10
07-02-2020,0,Japan,10
07-02-2020,0,Russia,10
07-02-2020,0,United States of America,10
08-02-2020,3418,China,10
08-02-2020,0,India,10
08-02-2020,0,Italy,10
08-02-2020,0,Japan,10
08-02-2020,0,Russia,10
08-02-2020,0,United States of America,10
09-02-2020,2607,China,10
09-02-2020,0,India,10
09-02-2020,0,Italy,10
09-02-2020,0,Japan,10
09-02-2020,0,Russia,10
09-02-2020,0,United States of America,10
10-02-2020,2974,China,10
10-02-2020,0,India,10
10-02-2020,0,Italy,10
10-02-2020,0,Japan,10
10-02-2020,0,Russia,10
10-02-2020,0,United States of America,10
11-02-2020,2490,China,10
11-02-2020,0,India,10
11-02-2020,0,Italy,10
11-02-2020,0,Japan,10
11-02-2020,0,Russia,10
11-02-2020,1,United States of America,10
12-02-2020,2028,China,10
12-02-2020,0,India,10
12-02-2020,0,Italy,10
12-02-2020,0,Japan,10
12-02-2020,0,Russia,10
12-02-2020,0,United States of America,10
13-02-2020,15141,China,10
13-02-2020,0,India,10
13-02-2020,0,Italy,10
13-02-2020,4,Japan,10
13-02-2020,0,Russia,10
13-02-2020,1,United States of America,10
14-02-2020,4156,China,10
14-02-2020,0,India,10
14-02-2020,0,Italy,10
14-02-2020,1,Japan,10
14-02-2020,0,Russia,10
14-02-2020,1,United States of America,10
15-02-2020,2538,China,10
15-02-2020,0,India,10
15-02-2020,0,Italy,10
15-02-2020,8,Japan,10
15-02-2020,0,Russia,10
15-02-2020,0,United States of America,10
16-02-2020,2007,China,10
16-02-2020,0,India,10
16-02-2020,0,Italy,10
16-02-2020,14,Japan,10
16-02-2020,0,Russia,10
16-02-2020,0,United States of America,10
17-02-2020,2052,China,10
17-02-2020,0,India,10
17-02-2020,0,Italy,10
17-02-2020,7,Japan,10
17-02-2020,0,Russia,10
17-02-2020,0,United States of America,10
18-02-2020,1890,China,10
18-02-2020,0,India,10
18-02-2020,0,Italy,10
18-02-2020,0,Japan,10
18-02-2020,0,Russia,10
18-02-2020,0,United States of America,10
19-02-2020,1750,China,10
19-02-2020,0,India,10
19-02-2020,0,Italy,10
19-02-2020,7,Japan,10
19-02-2020,0,Russia,10
19-02-2020,0,United States of America,10
20-02-2020,394,China,10
20-02-2020,0,India,10
20-02-2020,0,Italy,10
20-02-2020,18,Japan,10
20-02-2020,0,Russia,10
20-02-2020,0,United States of America,10
21-02-2020,891,China,10
21-02-2020,0,India,10
21-02-2020,0,Italy,10
21-02-2020,9,Japan,10
21-02-2020,0,Russia,10
21-02-2020,1,United States of America,10
22-02-2020,826,China,10
22-02-2020,0,India,10
22-02-2020,14,Italy,10
22-02-2020,12,Japan,10
22-02-2020,0,Russia,10
22-02-2020,19,United States of America,10
23-02-2020,647,China,10
23-02-2020,0,India,10
23-02-2020,62,Italy,10
23-02-2020,27,Japan,10
23-02-2020,0,Russia,10
23-02-2020,0,United States of America,10
24-02-2020,218,China,10
24-02-2020,0,India,10
24-02-2020,53,Italy,10
24-02-2020,12,Japan,10
24-02-2020,0,Russia,10
24-02-2020,0,United States of America,10
25-02-2020,515,China,10
25-02-2020,0,India,10
25-02-2020,97,Italy,10
25-02-2020,0,Japan,10
25-02-2020,0,Russia,10
25-02-2020,18,United States of America,10
26-02-2020,410,China,10
26-02-2020,0,India,10
26-02-2020,93,Italy,10
26-02-2020,20,Japan,10
26-02-2020,0,Russia,10
26-02-2020,0,United States of America,10
27-02-2020,439,China,10
27-02-2020,0,India,10
27-02-2020,78,Italy,10
27-02-2020,22,Japan,10
27-02-2020,0,Russia,10
27-02-2020,6,United States of America,10
28-02-2020,329,China,10
28-02-2020,0,India,10
28-02-2020,250,Italy,10
28-02-2020,24,Japan,10
28-02-2020,0,Russia,10
28-02-2020,1,United States of America,10
29-02-2020,428,China,10
29-02-2020,0,India,10
29-02-2020,238,Italy,10
29-02-2020,20,Japan,10
29-02-2020,0,Russia,10
29-02-2020,6,United States of America,10
01-03-2020,574,China,10
01-03-2020,0,India,10
01-03-2020,240,Italy,10
01-03-2020,9,Japan,10
01-03-2020,0,Russia,10
01-03-2020,3,United States of America,10
02-03-2020,205,China,10
02-03-2020,0,India,10
02-03-2020,561,Italy,10
02-03-2020,15,Japan,10
02-03-2020,0,Russia,10
02-03-2020,20,United States of America,10
03-03-2020,127,China,10
03-03-2020,2,India,10
03-03-2020,347,Italy,10
03-03-2020,0,Japan,10
03-03-2020,1,Russia,10
03-03-2020,14,United States of America,10
04-03-2020,119,China,10
04-03-2020,1,India,10
04-03-2020,466,Italy,10
04-03-2020,14,Japan,10
04-03-2020,1,Russia,10
04-03-2020,22,United States of America,10
05-03-2020,117,China,10
05-03-2020,22,India,10
05-03-2020,587,Italy,10
05-03-2020,49,Japan,10
05-03-2020,0,Russia,10
05-03-2020,34,United States of America,10
06-03-2020,170,China,10
06-03-2020,1,India,10
06-03-2020,769,Italy,10
06-03-2020,32,Japan,10
06-03-2020,0,Russia,10
06-03-2020,74,United States of America,10
07-03-2020,101,China,10
07-03-2020,2,India,10
07-03-2020,778,Italy,10
07-03-2020,59,Japan,10
07-03-2020,6,Russia,10
07-03-2020,105,United States of America,10
08-03-2020,46,China,10
08-03-2020,3,India,10
08-03-2020,1247,Italy,10
08-03-2020,47,Japan,10
08-03-2020,0,Russia,10
08-03-2020,95,United States of America,10
09-03-2020,45,China,10
09-03-2020,1492,Italy,10
09-03-2020,33,Japan,10
09-03-2020,0,Russia,10
09-03-2020,121,United States of America,10
10-03-2020,20,China,10
10-03-2020,10,India,10
10-03-2020,1797,Italy,10
10-03-2020,26,Japan,10
10-03-2020,0,Russia,10
10-03-2020,200,United States of America,10
11-03-2020,29,China,10
11-03-2020,6,India,10
11-03-2020,977,Italy,10
11-03-2020,54,Japan,10
11-03-2020,0,Russia,10
11-03-2020,271,United States of America,10
12-03-2020,24,China,10
12-03-2020,23,India,10
12-03-2020,2313,Italy,10
12-03-2020,51,Japan,10
12-03-2020,15,Russia,10
12-03-2020,287,United States of America,10
13-03-2020,22,China,10
13-03-2020,2,India,10
13-03-2020,2651,Italy,10
13-03-2020,56,Japan,10
13-03-2020,5,Russia,10
13-03-2020,351,United States of America,10
14-03-2020,19,China,10
14-03-2020,8,India,10
14-03-2020,2547,Italy,10
14-03-2020,62,Japan,10
14-03-2020,15,Russia,10
14-03-2020,511,United States of America,10
15-03-2020,22,China,10
15-03-2020,7,India,10
15-03-2020,3497,Italy,10
15-03-2020,43,Japan,10
15-03-2020,14,Russia,10
15-03-2020,777,United States of America,10
16-03-2020,25,China,10
16-03-2020,3,India,10
16-03-2020,2823,Italy,10
16-03-2020,34,Japan,10
16-03-2020,4,Russia,10
16-03-2020,823,United States of America,10
17-03-2020,43,China,10
17-03-2020,32,India,10
17-03-2020,4000,Italy,10
17-03-2020,10,Japan,10
17-03-2020,30,Russia,10
17-03-2020,887,United States of America,10
18-03-2020,23,China,10
18-03-2020,12,India,10
18-03-2020,3526,Italy,10
18-03-2020,5,Japan,10
18-03-2020,21,Russia,10
18-03-2020,1766,United States of America,10
19-03-2020,44,China,10
19-03-2020,28,India,10
19-03-2020,4207,Italy,10
19-03-2020,44,Japan,10
19-03-2020,33,Russia,10
19-03-2020,2988,United States of America,10
20-03-2020,99,China,10
20-03-2020,26,India,10
20-03-2020,5322,Italy,10
20-03-2020,77,Japan,10
20-03-2020,52,Russia,10
20-03-2020,4835,United States of America,10
21-03-2020,52,China,10
21-03-2020,40,India,10
21-03-2020,5986,Italy,10
21-03-2020,57,Japan,10
21-03-2020,54,Russia,10
21-03-2020,5374,United States of America,10
22-03-2020,65,China,10
22-03-2020,89,India,10
22-03-2020,6557,Italy,10
22-03-2020,39,Japan,10
22-03-2020,53,Russia,10
22-03-2020,7123,United States of America,10
23-03-2020,138,China,10
23-03-2020,119,India,10
23-03-2020,5560,Italy,10
23-03-2020,43,Japan,10
23-03-2020,132,Russia,10
23-03-2020,8459,United States of America,10
24-03-2020,69,China,10
24-03-2020,53,India,10
24-03-2020,4789,Italy,10
24-03-2020,39,Japan,10
24-03-2020,0,Russia,10
24-03-2020,11236,United States of America,10
25-03-2020,78,China,10
25-03-2020,70,India,10
25-03-2020,5249,Italy,10
25-03-2020,65,Japan,10
25-03-2020,57,Russia,10
25-03-2020,8789,United States of America,10
26-03-2020,102,China,10
26-03-2020,87,India,10
26-03-2020,5210,Italy,10
26-03-2020,75,Japan,10
26-03-2020,163,Russia,10
26-03-2020,13963,United States of America,10
27-03-2020,94,China,10
